rank,surname,name,year,club,points
1,GANASCIA-LIN,Guillaume,2006,ORLEANS CE,1345.71
2,COUDERC,Tom,2006,CHARLEVILLE,1330.71
3,BERARDINI,Rodrigue,2006,THIONVILLE,1219.43
4,ROBBE MARTINEZ,Ulysse,2006,ORLEANS CE,1215.12
5,SAGARDI,David,2006,PAU SECTION,1061.41
6,TRUTT,Gaetan,2006,CHARLEVILLE,1046.53
7,PALMOLUNGO,Alessandro,2006,PARIS RCF,877.47
8,BAYSAL,Remy,2006,ORLEANS CE,877.12
9,BOUVIER,Omer,2006,LONS SAUNIER,874.80
10,NOEL,Thomas,2006,THIONVILLE,778.93
11,TORI,Maximilien,2006,CHARENTON,772.09
12,BERNARD-COQUARD,Arthur,2006,ST JEAN RUEL,739.75
13,JONCQUIERT,Aléxis,2006,MOUVAUX EC,721.89
14,JAGLIN,Mewen,2006,ST BRIEUC CE,719.01
15,THIBAUT,Tugdual,2006,AUXERRE CE,687.63
16,REYNEN,Arthur,2006,DAMIGNY,679.40
17,PROSSE,Art,2007,ROUBAIX CE,622.26
18,CHAUVEL,Titouan,2007,CHARLEVILLE,596.13
19,PICAUD,Keanan,2006,MAISONS ALF,594.20
20,LAROCHE,Arthur,2007,GISORS 3A,587.65
21,MARTINS,Clément,2006,MOUVAUX EC,577.80
22,EVENO,Elouann,2007,DINARD LAMES,540.74
23,BIDAULT,Achille,2006,BETTON CP,536.30
24,WYFFELS,Quentin,2006,WATTRELOS CE,535.11
25,GRAND,Ewan,2006,CHAMPAGNOLE,522.60
26,FELZINE,Augustin,2006,CHARLEVILLE,521.91
27,DUBARRY,Adam,2006,CERGY CE,510.04
28,MAUGET,Julien,2006,VERSAILLES,507.65
29,BEAUBIAT,Victor,2006,PROVENCE ESC,505.00
30,THOMAS,Leo,2006,ORLEANS CE,454.35
31,GA SAO,Lylian,2007,PARIS USM,444.51
32,MEVEL,Arthur,2006,CHARENTON,435.28
33,IKEROUTENE,Amaury,2006,ST JEAN RUEL,430.91
34,ALLAIRE,Emile,2006,JOUE TOURS,428.26
35,LEMERCIER,Jonas,2007,VERNON CE,427.25
36,HERBET,Nathan,2006,MOUVAUX EC,419.42
37,AHOUANSOU,Johan,2006,QUETIGNY AS,405.14
38,CHOUEIRY,Michel,2007,CHARENTON,397.81
39,FRABOULET,Roman,2007,BETTON CP,384.87
40,GNABA,Noé Francesco,2008,AUXERRE CE,379.39
41,GARRIGUES,Marius,2006,JOUE TOURS,377.60
42,HORAUD,Thomas,2006,MEYLAN SE,366.65
43,CHIVORET,Basile,2007,CHARENTON,360.31
44,GIORGIANI-COURBET,Renaud,2008,BESANCON UC,356.82
45,HUMBLOT,Virgile,2006,MONETEAU USC,354.49
46,WAHNERT,Amaury,2007,STRASBOURG U,334.08
47,HUITRIC,Lucas,2006,PARIS USM,331.53
48,LABAT,Arthur,2006,PARIS RCF,330.90
49,KERUZORE,Martin,2007,FOUGERES PAYS,330.78
50,LIENHARD,Alban,2006,TARBES ATE,327.29
51,FISCHER,Mathias,2006,POMPEY ESCR,310.46
52,BRILLAUD,Matthieu,2006,MAI LAFFITTE,306.33
53,GARRIGUE,Louis,2007,CERGY CE,305.22
54,GRADINAC,Lucas,2006,VERSAILLES,304.29
55,BUREAU,Elio,2006,MEYLAN SE,302.31
56,XXXXX,XXXXX,XXXXX,PESSAC SE,302.16
56,LOYOLA,Gabriel,2006,PAU SECTION,302.16
58,JUILLET,Alexandre,2006,BOURGES ESC,274.50
59,KOHLER,Jules,2006,ST LOUIS ALS,262.49
60,TCHETNGA,Eliott,2007,ORLEANS CE,260.05
61,PICCIOLI,Baptiste,2008,MONTCEAU ES,259.76
62,TRUCHOT,Nathan,2007,MONTCEAU ES,256.58
63,BOURION,Antoine,2007,GUYANCOURT,253.20
64,HOSPITAL,Baptiste,2008,ORLEANS CE,247.29
65,RISCH RIFFARTH,Benoit,2006,TARBES ATE,244.66
66,GIRAUD,Baptiste,2007,MEYLAN SE,243.12
67,JOOMRATUN,Nadim,2006,MAISONS ALF,233.95
68,GOURVENEC,Corentin,2006,CHATOU,229.65
69,ANTOINE PAISANT,Gabriel,2006,JOUE TOURS,228.95
70,MEDINA,Marius,2006,CHARLEVILLE,220.68
71,DEQUATREMARE,Mathis,2006,LOUVIERS CE,220.50
72,GARNIER,Benjamin,2006,GUYANCOURT,218.94
73,GABAS,Jean,2006,TARBES ATE,215.17
74,CASSAM-CHENAI,Fernand,2006,GEMENOS,210.74
75,FUSIER,Gabriel,2006,ST QUENTIN,207.84
76,DESNOT-LELOUP,Guillian,2006,BETTON CP,207.03
77,MAIROT,Vincent,2006,VALDAHON,200.17
78,JALLET,Looka,2007,BOURGES ESC,199.66
79,LEGAULT,Paul,2006,ANGERS SCO,197.70
80,ROUVIERE,Paul,2006,MAISONS ALF,195.05
81,MEYRIEU,Cyril,2006,ANNECY,192.06
82,PENIGUEL-VERFAILLIE,Ilan,2007,DAMIGNY,191.96
83,DUBOIS ARLETTAZ,Keo,2006,ST JEAN RUEL,185.42
83,FERAL,Julien,2007,GEMENOS,185.42
85,MEUNIER,Martin,2007,RILLIEUX LP,181.98
86,ABJEAN,Kyllian,2006,ST BRIEUC CE,178.92
87,SOUDAY,Hugo,2007,GISORS 3A,173.33
88,RABITI,Antoine,2006,CHATOU,166.50
89,GUILLOT,Louis,2006,DOLE CE,165.46
90,HENON SAYAH,Hugo,2006,MEYLAN SE,163.96
91,RUBY CECHETTI,Timéo,2007,CHARENTON,163.70
92,MOUREN,Corentin,2006,VANNES CE,157.05
93,COULON,Hugo,2006,ST JEAN RUEL,154.92
94,BARD,Ewen,2006,CERGY CE,154.65
95,GINIEIS,Augustin,2006,CHARENTON,154.19
96,MORALES,Jean,2007,TARBES ATE,149.58
97,HENON SAYAH,Mahe,2006,MEYLAN SE,148.20
98,LEDU,Kian,2007,BOURGES ESC,147.78
99,MERRIEN,Justin,2007,VANNES CE,145.28
100,AUGUSTE,Antonin,2006,DINARD LAMES,145.19
1,GANASCIA-LIN,Guillaume,2006,ORLEANS CE,1345.71
2,COUDERC,Tom,2006,CHARLEVILLE,1330.71
3,BERARDINI,Rodrigue,2006,THIONVILLE,1219.43
4,ROBBE MARTINEZ,Ulysse,2006,ORLEANS CE,1215.12
5,SAGARDI,David,2006,PAU SECTION,1061.41
6,TRUTT,Gaetan,2006,CHARLEVILLE,1046.53
7,PALMOLUNGO,Alessandro,2006,PARIS RCF,877.47
8,BAYSAL,Remy,2006,ORLEANS CE,877.12
9,BOUVIER,Omer,2006,LONS SAUNIER,874.80
10,NOEL,Thomas,2006,THIONVILLE,778.93
11,TORI,Maximilien,2006,CHARENTON,772.09
12,BERNARD-COQUARD,Arthur,2006,ST JEAN RUEL,739.75
13,JONCQUIERT,Aléxis,2006,MOUVAUX EC,721.89
14,JAGLIN,Mewen,2006,ST BRIEUC CE,719.01
15,THIBAUT,Tugdual,2006,AUXERRE CE,687.63
16,REYNEN,Arthur,2006,DAMIGNY,679.40
17,PROSSE,Art,2007,ROUBAIX CE,622.26
18,CHAUVEL,Titouan,2007,CHARLEVILLE,596.13
19,PICAUD,Keanan,2006,MAISONS ALF,594.20
20,LAROCHE,Arthur,2007,GISORS 3A,587.65
21,MARTINS,Clément,2006,MOUVAUX EC,577.80
22,EVENO,Elouann,2007,DINARD LAMES,540.74
23,BIDAULT,Achille,2006,BETTON CP,536.30
24,WYFFELS,Quentin,2006,WATTRELOS CE,535.11
25,GRAND,Ewan,2006,CHAMPAGNOLE,522.60
26,FELZINE,Augustin,2006,CHARLEVILLE,521.91
27,DUBARRY,Adam,2006,CERGY CE,510.04
28,MAUGET,Julien,2006,VERSAILLES,507.65
29,BEAUBIAT,Victor,2006,PROVENCE ESC,505.00
30,THOMAS,Leo,2006,ORLEANS CE,454.35
31,GA SAO,Lylian,2007,PARIS USM,444.51
32,MEVEL,Arthur,2006,CHARENTON,435.28
33,IKEROUTENE,Amaury,2006,ST JEAN RUEL,430.91
34,ALLAIRE,Emile,2006,JOUE TOURS,428.26
35,LEMERCIER,Jonas,2007,VERNON CE,427.25
36,HERBET,Nathan,2006,MOUVAUX EC,419.42
37,AHOUANSOU,Johan,2006,QUETIGNY AS,405.14
38,CHOUEIRY,Michel,2007,CHARENTON,397.81
39,FRABOULET,Roman,2007,BETTON CP,384.87
40,GNABA,Noé Francesco,2008,AUXERRE CE,379.39
41,GARRIGUES,Marius,2006,JOUE TOURS,377.60
42,HORAUD,Thomas,2006,MEYLAN SE,366.65
43,CHIVORET,Basile,2007,CHARENTON,360.31
44,GIORGIANI-COURBET,Renaud,2008,BESANCON UC,356.82
45,HUMBLOT,Virgile,2006,MONETEAU USC,354.49
46,WAHNERT,Amaury,2007,STRASBOURG U,334.08
47,HUITRIC,Lucas,2006,PARIS USM,331.53
48,LABAT,Arthur,2006,PARIS RCF,330.90
49,KERUZORE,Martin,2007,FOUGERES PAYS,330.78
50,LIENHARD,Alban,2006,TARBES ATE,327.29
51,FISCHER,Mathias,2006,POMPEY ESCR,310.46
52,BRILLAUD,Matthieu,2006,MAI LAFFITTE,306.33
53,GARRIGUE,Louis,2007,CERGY CE,305.22
54,GRADINAC,Lucas,2006,VERSAILLES,304.29
55,BUREAU,Elio,2006,MEYLAN SE,302.31
56,XXXXX,XXXXX,XXXXX,PESSAC SE,302.16
56,LOYOLA,Gabriel,2006,PAU SECTION,302.16
58,JUILLET,Alexandre,2006,BOURGES ESC,274.50
59,KOHLER,Jules,2006,ST LOUIS ALS,262.49
60,TCHETNGA,Eliott,2007,ORLEANS CE,260.05
61,PICCIOLI,Baptiste,2008,MONTCEAU ES,259.76
62,TRUCHOT,Nathan,2007,MONTCEAU ES,256.58
63,BOURION,Antoine,2007,GUYANCOURT,253.20
64,HOSPITAL,Baptiste,2008,ORLEANS CE,247.29
65,RISCH RIFFARTH,Benoit,2006,TARBES ATE,244.66
66,GIRAUD,Baptiste,2007,MEYLAN SE,243.12
67,JOOMRATUN,Nadim,2006,MAISONS ALF,233.95
68,GOURVENEC,Corentin,2006,CHATOU,229.65
69,ANTOINE PAISANT,Gabriel,2006,JOUE TOURS,228.95
70,MEDINA,Marius,2006,CHARLEVILLE,220.68
71,DEQUATREMARE,Mathis,2006,LOUVIERS CE,220.50
72,GARNIER,Benjamin,2006,GUYANCOURT,218.94
73,GABAS,Jean,2006,TARBES ATE,215.17
74,CASSAM-CHENAI,Fernand,2006,GEMENOS,210.74
75,FUSIER,Gabriel,2006,ST QUENTIN,207.84
76,DESNOT-LELOUP,Guillian,2006,BETTON CP,207.03
77,MAIROT,Vincent,2006,VALDAHON,200.17
78,JALLET,Looka,2007,BOURGES ESC,199.66
79,LEGAULT,Paul,2006,ANGERS SCO,197.70
80,ROUVIERE,Paul,2006,MAISONS ALF,195.05
81,MEYRIEU,Cyril,2006,ANNECY,192.06
82,PENIGUEL-VERFAILLIE,Ilan,2007,DAMIGNY,191.96
83,DUBOIS ARLETTAZ,Keo,2006,ST JEAN RUEL,185.42
83,FERAL,Julien,2007,GEMENOS,185.42
85,MEUNIER,Martin,2007,RILLIEUX LP,181.98
86,ABJEAN,Kyllian,2006,ST BRIEUC CE,178.92
87,SOUDAY,Hugo,2007,GISORS 3A,173.33
88,RABITI,Antoine,2006,CHATOU,166.50
89,GUILLOT,Louis,2006,DOLE CE,165.46
90,HENON SAYAH,Hugo,2006,MEYLAN SE,163.96
91,RUBY CECHETTI,Timéo,2007,CHARENTON,163.70
92,MOUREN,Corentin,2006,VANNES CE,157.05
93,COULON,Hugo,2006,ST JEAN RUEL,154.92
94,BARD,Ewen,2006,CERGY CE,154.65
95,GINIEIS,Augustin,2006,CHARENTON,154.19
96,MORALES,Jean,2007,TARBES ATE,149.58
97,HENON SAYAH,Mahe,2006,MEYLAN SE,148.20
98,LEDU,Kian,2007,BOURGES ESC,147.78
99,MERRIEN,Justin,2007,VANNES CE,145.28
100,AUGUSTE,Antonin,2006,DINARD LAMES,145.19
