rank,surname,name,year,club,points
1,WINGERTER,Nolan,2005,GRENOBLE PAR,23836.00
2,SPEISMANN,Theo,2005,VITTEL CS,17039.73
3,RAVELO DE TOVAR,Samuel,2005,LILLE VAUBAN,17030.56
4,DUCHENE,Noam,2007,NIMES SE,15770.53
5,RAHAMEFY,Aina,2006,ST GRATIEN,14802.90
6,PETKANTCHIN,Samuel,2006,ST GRATIEN,14153.25
7,GARY,Gavin,2005,RODEZ AVEYRO,13363.59
8,BARRE,Maxime,2006,NEVERS CE,13334.77
9,BOULIERE,Clement,2005,GRAD TALENCE,12076.70
10,SALIN,Liam,2006,LEVALLOIS,11606.72
11,BLONDEAU,Ludovic,2005,AVON US,10978.70
12,GAUDICHAU,Paul,2005,CHALONS CHAM,10603.60
13,ROZE,Clement,2005,DREUX CE,10566.23
14,PUCHELLE,Tom,2006,LILLE VAUBAN,10451.78
15,PERRIER,Alexis,2005,BEAUVAIS ACA,10331.49
16,CHANU,Benoit,2005,BEAUVAIS ACA,9883.40
17,MARTIN,Benoit,2005,TASSIN DL,8974.48
18,BOIS-ROLET,Paolo,2005,SARLAT CE,8925.31
19,ASTRELLA,Niklas,2007,LEVALLOIS,8842.45
20,COICAUD,Jules,2005,GRAD TALENCE,8793.04
21,LEBEL,Sacha,2007,DIJON ASPTT,8477.54
22,THURIN,Ferdinand,2005,GRENOBLE PAR,8371.74
23,MITRAIL,Theo,2007,DUCOS MSQ,8265.43
24,LOISON,Aurélien,2006,COLMAR SR,8238.03
25,ROUSSET,Nicolas,2005,GRENOBLE PAR,8152.06
26,NIVAL,Léo,2006,VALENCIENNES,7849.77
27,WELSCHBILLIG,Aubin,2005,ANGERS CSAD,7810.56
28,SOURROUILLE,Edouard,2005,GRAD TALENCE,7713.10
29,KERN,Pierre,2005,VITTEL CS,7326.05
30,COTTE,Alexis,2005,BONDY AS,7319.90
31,DEMART CASTRO,Quentin,2005,PARIS EPEE,7264.07
32,NAUDIN,Maxime,2005,LEVALLOIS,7045.89
33,SCHOESER,Antoine,2005,SARREBOURG,6675.53
34,LOUF,Gabriel,2005,GRASSE CE,6508.64
35,CHARVY,Thomas,2007,TARGON CE,6498.06
36,PEREZ,Raphael,2005,NIMES SE,6281.29
37,FERAL,Louis Clement,2005,RODEZ AVEYRO,6200.98
38,DUVALLET,Raphaël,2006,MEUDON AS,6189.41
39,BARRET,Leo,2006,DOUAI CE,6180.29
40,PELLEGATTA,Matteo,2005,TOULOUSE UC,6155.25
41,XXXXX,XXXXX,XXXXX,MATOURY,6097.50
42,LESPONNE-DENIS,Mattéo,2006,VILLENEUVE L,6072.98
43,DURIN GILLE,Paul,2006,AVON US,5861.71
44,JACQ,Pierre,2005,AMIENS CEAM,5622.62
45,CHAUMETTE,Clement,2005,ORLEANS CE,5449.76
46,DUPONT,Joakim,2006,GRENOBLE PAR,5352.18
47,SEVOT,Dimitri,2005,ORLEANS CE,5093.61
48,DOUET,Arthur,2005,NORMANDIE EE,4787.34
49,REMY,Tristan,2006,CHALONS CHAM,4346.46
50,LIROLA GRIFFITHS,Hugo,2007,LISIEUX EL,4326.23
51,JAUZION,Nicolas,2006,CASTRES,4218.28
52,GAWLAS,William,2007,NEVERS CE,4010.52
53,ROUSSEL,Bastien,2005,EVRY AS,3987.41
54,MINEZ,Antoine,2007,VALENCIENNES,3956.26
55,CHEVALIER,Arthur,2005,LILLE VAUBAN,3934.02
56,DESBOIS,Jean,2006,CHALON SAONE,3833.12
57,RICHAUD,Nathan,2005,AMIENS CEAM,3695.94
58,CAZENEUVE,Florian,2006,ANGERS SCO,3673.36
59,REMBI,Waren,2005,BONDY AS,3647.80
60,SOUSA,Christiano,2005,TROYES TG,3610.46
61,BOURRIERES,Arthur,2006,MONTAUBAN,3559.29
62,JAFFREZIC,Gaetan,2005,LE HAVRE CE,3550.88
63,GAMEZ,Quentin,2006,RODEZ AVEYRO,3529.73
64,COMMISSAIRE,Valentin,2006,MONTAUBAN,3468.56
65,MILLET,Thomas,2005,DIJON ASPTT,3465.41
66,DUMET,Robin,2007,OLYMPIQUE CE,3297.86
67,BORDET CLAPIER,Bruno,2005,NARBONNE,3038.01
68,BRUNET,Gabriel,2007,NEVERS CE,2848.17
69,DELEVACQUE,Maxime,2007,VITTEL CS,2833.36
70,GILLET,Alwyn,2005,RODEZ AVEYRO,2722.54
71,MARANINCHI,Loris,2007,TOULON VAR,2686.70
72,JUGON-GAYDU,Rémi,2005,BASSE TERRE,2559.25
73,POURCHET,Arthur,2006,DIJON ASPTT,2493.91
74,HERZOG DAVID,Oscar,2005,COLMAR SR,2458.70
75,LEVESQUE,Gabriel,2006,MONTIVILLIER,2398.56
76,ALEXANDRE,Maxime,2006,GOSIER ST GE,2378.32
77,ZANDER,Remi,2005,RETHEL,2320.51
78,VILATTE,Thomas,2005,BRIVE CE,2310.84
79,DRUILHE,Clement,2005,RODEZ AVEYRO,2299.66
80,BERNARDIN,Doryan,2006,NEVERS CE,2272.68
81,PICARD,Julien,2005,LIBOURNE AS,2268.66
82,COHENDET,Matteo,2006,ST GRATIEN,2235.22
83,ZONABEND,Pierre,2006,PARIS GRP,2230.06
84,MORENO,Florent,2006,MEXIMIEUX,2153.92
85,LECOMTE,Gaspard,2007,RENNES CSG,2121.84
86,BOTTINI,Bartholome,2005,LIBOURNE AS,2094.39
87,COMPAGNION,Keo,2006,PARIS EPEE,2055.91
88,COSSARD,Flavien,2006,LE HAVRE CE,1957.57
89,RAZES,Benjamin,2006,DIEPPE FL,1925.33
90,GRAFF,Tom,2005,VILLENEUVE L,1920.57
91,DOUMENC,Matthias,2005,TOULOUSE UC,1862.32
92,MALIN,Timeo,2006,BRON AE,1847.79
93,MOULIN,Liam,2007,CHALONS CHAM,1831.52
94,BARBARY,Ernest,2006,PFE 77,1741.75
95,VERNHES,Louis,2006,RODEZ AVEYRO,1697.45
96,MALHOMME,Simon,2005,AUCH EC,1683.99
97,JOURDAIN-STHALY,Louis,2005,LE HAVRE CE,1657.31
98,PELOU,Tom,2008,ST DOULCHARD,1655.70
99,GRIMAULT,Martin,2005,RENNES ERM,1580.69
100,FLORENTIN,Paul,2007,ST DOULCHARD,1578.27
101,GARY,Erwin,2005,RODEZ AVEYRO,1573.07
102,GARCIA TORRECILLAS,Luca,2005,LE HAVRE CE,1519.75
102,DUCREUX,Roman,2006,VILLENEUVE L,1519.75
104,RENCK-ZWINGER,Baptiste,2006,STRASBOURG E,1467.77
105,ORRIOLS-REDOUTE,Antoine,2007,ST MALO,1442.25
